incidentid,callnum,received,description,latitude,longitude,county,address,fk_stationid
181907,140803431,"2014-08-21 16:31:34","MVA-UNK INJURY",45.4303865532834,-122.820883156178,W,"13998 SW LIDEN DR",1
182410,140803730,"2014-08-23 16:40:28","MVA-UNK INJURY",45.4150437818127,-122.835969463586,W,"15556 SW BULL MOUNTAIN RD",1
188896,140902730,"2014-09-17 00:29:40","MVA-INJURY ACCID",45.4306465427214,-122.815757540476,W,"SW 135TH AV/SW WALNUT ST",1
190279,140903628,"2014-09-22 13:04:32","MVA-INJURY ACCID",45.4367192902971,-122.81708832992,W,"11525 SW 135TH AV",1
191649,140904431,"2014-09-27 15:03:46","MVA-UNK INJURY",45.4186508278262,-122.802376810421,W,"SW GAARDE ST/SW 121ST AV",1
194370,141001181,"2014-10-09 06:36:18","MVA-INJURY ACCID",45.4330435156095,-122.823820927891,W,"SW MURRAY BV/SW BARROWS RD",1
195571,141001876,"2014-10-14 00:38:58","MVA-UNK INJURY",45.4267992532594,-122.844814730806,W,"SW BARROWS RD/SW ROSHAK RD",1
195806,141002017,"2014-10-15 03:03:11","MVA-INJURY ACCID",45.4532965460766,-122.774213810458,W,"SW HALL BV/SW GREENBURG RD",1
196475,141002451,"2014-10-17 17:31:54","MVA-UNK INJURY",45.4432842992371,-122.803923917562,W,"12388 SW SCHOLLS FERRY RD",1
197371,141002997,"2014-10-21 16:23:27","MVA-INJURY ACCID",45.428195090586,-122.824768484304,W,"12689 SW ASCENSION DR",1
199999,141004608,"2014-10-31 16:00:52","MVA-INJURY ACCID",45.4432951696255,-122.808161304285,W,"SW SUMMER LAK DR/SW SCHOLLS F RD",1
200844,141100539,"2014-11-04 20:13:17","MVA-INJURY ACCID",45.429606402894,-122.80008472329,W,"SW 121ST AV/SW WALNUT ST",1
206078,141100836,"2014-11-06 17:09:54","MVA-INJURY ACCID",45.43028699797,-122.815762384467,W,"SW WALNUT ST/SW BENISH ST",1
206091,141100835,"2014-11-06 17:09:54","MVA-INJURY ACCID",45.43028699797,-122.815762384467,W,"SW WALNUT ST/SW BENISH ST",1
212470,141101756,"2014-11-12 15:29:56","MVA-INJURY ACCID",45.4384694253097,-122.795407676164,W,"11590 SW NORTH DAKOTA ST",1
212767,141101936,"2014-11-13 18:32:10","MVA-UNK INJURY",45.4306465427214,-122.815757540476,W,"SW WALNUT ST/SW 135TH AV",1
214771,141103281,"2014-11-21 22:27:06","MVA-INJURY ACCID",45.4225510759542,-122.804638751319,W,"SW 124TH AV/SW QUAIL CREEK LN",1
215127,141103507,"2014-11-23 14:22:37","MVA-INJURY ACCID",45.4301920557625,-122.828314519944,W,"SW BARROWS RD/SW HORIZON BV",1
215596,141103801,"2014-11-25 16:13:42","MVA-UNK INJURY",45.4320253097568,-122.816234570324,W,"12085 SW 135TH AV",1
216467,141104379,"2014-11-29 18:52:23","MVA-UNK INJURY",45.4310478811421,-122.823591293947,W,"14300 SW BARROWS RD",1
217710,141200841,"2014-12-06 15:04:40","MVA-INJURY ACCID",45.4286677578395,-122.80324215882,W,"SW 123RD AV/SW WALNUT ST",1
217801,141200969,"2014-12-07 13:55:26","MVA-UNK INJURY",45.4360625443955,-122.830141119982,W,"14850 SW SCHOLLS FERRY RD",1
220202,141202648,"2014-12-18 08:41:44","MVA-INJURY ACCID",45.4238654644559,-122.817028361374,W,"SW WESTRIDGE TE & SW TAMAWAY LN",1
236168,150202221,"2015-02-15 10:22:54","MVA-INJURY ACCID",45.4330435156095,-122.823820927891,W,"14399 BARROWS/11798 MURRAY",1
239190,150204007,"2015-02-27 09:58:00","MVA-INJURY ACCID",45.4386655941074,-122.800271887757,W,"11248 121ST/12100 NORTH DAKOTA",1
241568,150301169,"2015-03-08 14:18:35","MVA-INJURY ACCID",45.4293385218679,-122.783691494376,W,"10400 WALNUT/12500 PATHFINDER",1
242342,150301679,"2015-03-11 20:10:48","MVA-INJURY ACCID",45.4191827472916,-122.819689630527,W,"13924 BENCHVIEW/13900 MISTLETOE",1
242966,150302047,"2015-03-14 01:37:24","MVA-INJURY ACCID",45.4362418755791,-122.795933536721,W,"SW TIGARD ST & SW 116TH AV",1
243106,150302132,"2015-03-14 15:56:24","MVA-UNK INJURY",45.4188170106698,-122.806669308121,W,"SW 123RD TE & 128TH PL",1
246643,150304149,"2015-03-27 18:24:39","MVA-INJURY ACCID",45.5139447143041,-122.793978296083,W,"SUNSET/848 CEDAR HILLS",1
247851,150400115,"2015-04-01 17:54:44","MVA-UNK INJURY",45.4338668005045,-122.799988138918,W,"11898 121ST/12098 KATHERINE",1
249143,150400873,"2015-04-07 08:00:19","MVA-UNK INJURY",45.4317952509164,-122.818929761467,W,"12298 WILTON/13800 WALNUT",1
249775,150401257,"2015-04-09 15:30:45","MVA-INJURY ACCID",45.4287551231997,-122.82962349306,W,"BIG ALS",1
251178,150402115,"2015-04-15 08:21:00","MVA-INJURY ACCID",45.4148737830026,-122.845776345446,W,"16398 BULL MOUNTAIN/14498 164TH",1
254204,150403979,"2015-04-26 16:15:12","MVA-UNK INJURY",45.4382737354336,-122.825967844923,W,"14498 SCHOLLS FERRY/11300 MURRAY",1
256176,150500446,"2015-05-03 21:52:36","MVA-UNK INJURY",45.4323064606634,-122.822278732308,W,"14000 WALNUT/14498 NORTHVIEW",1
257930,150501485,"2015-05-09 23:39:49","MVA-INJURY ACCID",45.4313731097059,-122.816328814498,W,"12198 135TH/13600 WALNUT",1
259240,150502283,"2015-05-14 18:44:33","MVA-INJURY ACCID",45.4186805331487,-122.794048070618,W,"11400 GAARDE/14000 114TH",1
259530,150502443,"2015-05-15 21:07:56","MVA-INJURY ACCID",45.4382737354336,-122.825967844923,W,"14498 SCHOLLS FERRY/11300 MURRAY",1
263405,150504877,"2015-05-30 09:33:47","MVA-INJURY ACCID",45.429606402894,-122.80008472329,W,"12098 WALNUT/12498 121ST",1
264032,150600145,"2015-06-01 16:57:04","MVA-INJURY ACCID",45.4382737354336,-122.825967844923,W,"11300 MURRAY/14498 SCHOLLS FERRY",1
264642,150600521,"2015-06-03 18:23:39","MVA-INJURY ACCID",45.429606402894,-122.80008472329,W,"12098 WALNUT/12498 121ST",1
270568,150603394,"2015-06-18 19:36:11","MVA-UNK INJURY",45.4267992532594,-122.844814730806,W,"16308 BARROWS/12900 ROSHAK",1
271373,150603879,"2015-06-21 19:56:54","MVA-INJURY ACCID",45.4403003404497,-122.802353092681,W,"SW NORTH DAKOTA ST & SW NORTH DAKOTA ST",1
273620,150605280,"2015-06-29 13:38:56","MVA-INJURY ACCID",45.4267022355777,-122.844460023249,W,"METRO PERC",1
275671,150700823,"2015-07-05 12:05:18","MVA-UNK INJURY",45.4414106620261,-122.816168661671,W,"13501 BARROWS/13509 SCHOLLS FERRY",1
277055,150701643,"2015-07-09 20:48:06","MVA-UNK INJURY",45.4382737354336,-122.825967844923,W,"14498 SCHOLLS FERRY/11300 MURRAY",1
279374,150703033,"2015-07-17 21:05:45","MVA-UNK INJURY",45.4287551231997,-122.82962349306,W,"BIG ALS",1
281598,150704395,"2015-07-25 02:20:21","MVA-INJURY ACCID",45.4419003717158,-122.800009083985,W,"SW 121ST AV & DEAD END",1
283869,150800041,"2015-08-01 06:38:37","MVA-INJURY ACCID",45.4162425886034,-122.833961594032,W,"SW 152ND PL & SW 153RD AV",1
294097,150900917,"2015-09-07 00:57:46","MVA-UNK INJURY",45.4267992532594,-122.844814730806,W,"16308 BARROWS/12900 ROSHAK",1
298364,150903568,"2015-09-23 07:56:41","MVA-INJURY ACCID",45.4323064606634,-122.822278732308,W,"14000 WALNUT/14498 NORTHVIEW",1
298950,150903913,"2015-09-25 06:46:25","MVA-UNK INJURY",45.4382737354336,-122.825967844923,W,"14498 SCHOLLS FERRY/11300 MURRAY",1
301331,151000488,"2015-10-03 20:40:38","MVA-INJURY ACCID",45.4432951696255,-122.808161304285,W,"12799 SCHOLLS FERRY/10600 SUMMER LAKE",1
301568,151000637,"2015-10-04 19:27:21","MVA-INJURY ACCID",45.4245087205766,-122.799243434795,W,"SW JAMES ST & SW MARION ST",1
303754,151001941,"2015-10-12 22:01:58","MVA-UNK INJURY",45.4386655941074,-122.800271887757,W,"11248 121ST/12100 NORTH DAKOTA",1
305314,151002862,"2015-10-18 15:43:18","MVA-UNK INJURY",45.4413782733742,-122.81559827564,W,"SW SCHOLLS FERRY RD & SW CORIANDER LN",1
305821,151003162,"2015-10-20 14:37:32","MVA-INJURY ACCID",45.412045578602,-122.816040500937,W,"SW 136TH PL & SW RHETT CT",1
307044,151003899,"2015-10-24 23:58:10","MVA-UNK INJURY",45.4274269412425,-122.788466152781,W,"SW 107TH CT & DEAD END",1
308241,151004640,"2015-10-29 10:54:42","MVA-UNK INJURY",45.4313731097059,-122.816328814498,W,"12198 135TH/13600 WALNUT",1
309259,151100071,"2015-11-01 13:32:48","MVA-INJURY ACCID",45.4386655941074,-122.800271887757,W,"11248 121ST/12100 NORTH DAKOTA",1
310609,151100844,"2015-11-06 11:41:06","MVA-UNK INJURY",45.4382737354336,-122.825967844923,W,"14498 SCHOLLS FERRY/11300 MURRAY",1
311975,151101629,"2015-11-11 11:03:25","MVA-INJURY ACCID",45.4338668005045,-122.799988138918,W,"11898 121ST/12098 KATHERINE",1
315276,151103511,"2015-11-22 16:52:53","MVA-INJURY ACCID",45.4144972387906,-122.836667762335,W,"SW NEMARNIK DR & SW JULIET TE",1
318283,151200415,"2015-12-03 10:45:28","MVA-UNK INJURY",45.4146161797938,-122.814158260127,W,"14600 133RD/13300 BULL MOUNTAIN",1
321331,151202054,"2015-12-12 00:31:37","MVA-INJURY ACCID",45.4397306571559,-122.81987311099,W,"SW BARROWS RD & SW DAVIES RD",1
321573,151202179,"2015-12-12 22:30:53","MVA-UNK INJURY",45.4258707193913,-122.833296810339,W,"12998 MAYVIEW/15200 ROUNDTREE",1
322264,151202605,"2015-12-15 16:00:48","MVA-INJURY ACCID",45.4266937135071,-122.838559997946,W,"12910 157TH/15701 BARROWS",1
323340,151203218,"2015-12-18 17:15:25","MVA-INJURY ACCID",45.4307674555637,-122.815068800066,W,"OUR REDEEMER LUTHERA",1
323866,151203531,"2015-12-20 14:53:19","MVA-INJURY ACCID",45.4277321961692,-122.811013396721,W,"13398 GAARDE/13000 WALNUT",1
324425,151203832,"2015-12-21 23:56:03","MVA-UNK INJURY",45.4157378281611,-122.823686668659,W,"SW 141ST AV & SW 144TH AV",1
328685,160100867,"2016-01-05 17:15:01","MVA-UNK INJURY",45.4384861831949,-122.826857377821,W,"WALGREENS (MURRAY SCHOLLS)",1
328872,160100977,"2016-01-06 08:45:05","MVA-UNK INJURY",45.4153942215181,-122.822227236442,W,"14100 BULL MOUNTAIN/14448 141ST",1
330243,160101776,"2016-01-11 14:49:03","MVA-INJURY ACCID",45.4432951696255,-122.808161304285,W,"10600 SUMMER LAKE/12799 SCHOLLS FERRY",1
330692,160102046,"2016-01-13 08:32:31","MVA-INJURY ACCID",45.4382737354336,-122.825967844923,W,"11300 MURRAY/14498 SCHOLLS FERRY",1
331154,160102316,"2016-01-14 22:53:16","MVA-UNK INJURY",45.4267992532594,-122.844814730806,W,"16308 BARROWS/12900 ROSHAK",1
331681,160102638,"2016-01-16 21:58:30","MVA-INJURY ACCID",45.4268704990785,-122.844685178263,W,"SW MERGANSER LN & SW ROSHAK RD",1
337100,160200892,"2016-02-06 19:36:37","MVA-INJURY ACCID",45.4254884094243,-122.800194845829,W,"SW FONNER ST & SW JAMES ST",1
337908,160201361,"2016-02-09 16:26:48","MVA-INJURY ACCID",45.4287551231997,-122.82962349306,W,"SW HORIZON BV & SW MENLOR LN",1
341062,160203238,"2016-02-21 12:03:02","MVA-INJURY ACCID",45.4186739425757,-122.795337424615,W,"11500 GAARDE/13998 115TH",1
342461,160204057,"2016-02-26 14:09:14","MVA-INJURY ACCID",45.4382737354336,-122.825967844923,W,"14498 SCHOLLS FERRY/11300 MURRAY",1
344385,160300569,"2016-03-04 07:59:48","MVA-INJURY ACCID",45.4153942215181,-122.822227236442,W,"14100 BULL MOUNTAIN/14448 141ST",1
344722,160300745,"2016-03-05 11:17:42","MVA-UNK INJURY",45.4330435156095,-122.823820927891,W,"14098 WALNUT/14399 BARROWS",1
347345,160302269,"2016-03-14 19:16:55","MVA-INJURY ACCID",45.4330435156095,-122.823820927891,W,"11798 MURRAY/14098 WALNUT",1
348225,160302786,"2016-03-17 20:17:47","MVA-INJURY ACCID",45.4316456155393,-122.830240727826,W,"12198 HORIZON/14938 SANDHILL",1
350710,160304276,"2016-03-26 22:19:04","MVA-INJURY ACCID",45.4215518180273,-122.809437525086,W,"DEAD END & SW 129TH AV",1
352310,160400118,"2016-04-01 16:56:05","MVA-UNK INJURY",45.4382737354336,-122.825967844923,W,"14498 SCHOLLS FERRY/11300 MURRAY",1
354672,160401540,"2016-04-09 08:45:45","MVA-UNK INJURY",45.4186452107805,-122.801289559962,W,"12000 GAARDE/11970 ROSE VISTA",1
356048,160402368,"2016-04-14 09:47:41","MVA-UNK INJURY",45.4382737354336,-122.825967844923,W,"14498 SCHOLLS FERRY/11300 MURRAY",1
356055,160402367,"2016-04-14 09:44:56","MVA-INJURY ACCID",45.4382737354336,-122.825967844923,W,"11300 MURRAY/14498 SCHOLLS FERRY",1
362869,160501284,"2016-05-07 18:39:54","MVA-INJURY ACCID",45.428923476914,-122.782762972594,W,"10300 WALNUT/12500 WATKINS",1
365094,160502590,"2016-05-15 09:39:27","MVA-UNK INJURY",45.4336384244969,-122.831959215596,W,"15090 CANYON WREN/11950 HORIZON",1
369855,160600175,"2016-06-01 23:41:58","MVA-UNK INJURY",45.4180918767571,-122.840025857567,W,"SW ROSHAK RD & SW COLONY PL",1
372118,160601813,"2016-06-10 19:33:35","MVA-INJURY ACCID",45.4435231391165,-122.802140586555,W,"SW BOONES BEND DR & SW NORTH DAKOTA ST",1
380429,160701444,"2016-07-08 22:08:32","MVA-INJURY ACCID",45.4239171905288,-122.799733859786,W,"13298 121ST/12100 MARION",1
382670,160702849,"2016-07-16 16:05:06","MVA-INJURY ACCID",45.432222183245,-122.831573782667,W,"15000 MALLARD/12098 HORIZON",1
384884,160704192,"2016-07-24 00:43:10","MVA-UNK INJURY",45.4418326352688,-122.807209350898,W,"10798 127TH/12700 SPRINGWOOD",1
385695,160704711,"2016-07-26 14:53:02","MVA-INJURY ACCID",45.4186508278262,-122.802376810421,W,"14000 121ST/12098 GAARDE",1
389690,160801327,"2016-08-07 11:20:53","MVA-INJURY ACCID",45.4266937135071,-122.838559997946,W,"12910 157TH/15701 BARROWS",1
393946,160803937,"2016-08-20 09:43:37","MVA-INJURY ACCID",45.4402980585552,-122.804106931692,W,"SW NORTH DAKOTA ST & SW NORTH DAKOTA ST",1
394795,160804423,"2016-08-22 17:38:30","MVA-INJURY ACCID",45.4330435156095,-122.823820927891,W,"14399 BARROWS/11798 MURRAY",1
394803,160804424,"2016-08-22 17:39:15","MVA-INJURY ACCID",45.4414106620261,-122.816168661671,W,"13501 BARROWS/13509 SCHOLLS FERRY",1
395319,160804735,"2016-08-24 10:30:25","MVA-INJURY ACCID",45.4432951696255,-122.808161304285,W,"12799 SCHOLLS FERRY/10600 SUMMER LAKE",1
395883,160805090,"2016-08-26 06:16:20","MVA-INJURY ACCID",45.4414106620261,-122.816168661671,W,"13509 SCHOLLS FERRY/13501 BARROWS",1
400750,160902393,"2016-09-13 17:10:09","MVA-INJURY ACCID",45.4338360639058,-122.835057819419,W,"11900 SAGEHEN/15448 SCHOLLS FERRY",1
400752,160902399,"2016-09-13 17:38:22","MVA-INJURY ACCID",45.4277321961692,-122.811013396721,W,"13398 GAARDE/13000 WALNUT",1
402140,160903397,"2016-09-18 16:33:56","MVA-INJURY ACCID",45.4247705685892,-122.829374559337,W,"SW CATALINA DR & SW 148TH AV",1
405387,160905750,"2016-09-30 21:53:11","MVA-INJURY ACCID",45.4154317150788,-122.831333612907,W,"14442 150TH/15000 BULL MOUNTAIN",1
407517,161001385,"2016-10-08 21:49:45","MVA-UNK INJURY",45.4330435156095,-122.823820927891,W,"14399 BARROWS/14098 WALNUT",1
407741,161001540,"2016-10-09 20:58:12","MVA-INJURY ACCID",45.4431538498349,-122.803178045475,W,"MCMENAMINS GREENWAY PUB",1
411400,161003500,"2016-10-19 11:32:34","MVA-INJURY ACCID",45.4187615437365,-122.806016401048,W,"SW 123RD TE & 128TH PL",1
230,131101277,"2013-11-10 01:27:46","MVA-INJURY ACCID",45.4372336708491,-123.141204385764,W,"200 2ND ST",3
3691,131103846,"2013-11-28 19:13:43","MVA-UNK INJURY",45.3816010390548,-123.094911743041,W,"NE SPRING HIL RD/NE ALBERTSON RD",3
5238,131200747,"2013-12-06 06:35:09","MVA-UNK INJURY",45.4329956014844,-123.138863839026,W,"HWY 47/NW OLSON RD",3
6547,131201649,"2013-12-10 04:46:23","MVA-INJURY ACCID",45.4463734457823,-123.142089048915,W,"SW HWY 47/SW PATTON RD",3
7387,131202204,"2013-12-12 21:26:38","MVA-UNK INJURY",45.4383574449064,-123.200666598118,W,"SW PATTON VAL RD/SW MOUNT RIC RD",3
8116,131202679,"2013-12-16 06:58:02","MVA-INJURY ACCID",45.4202226505949,-123.096728362102,W,"40761 SW LAURELWOOD RD",3
8481,131202930,"2013-12-17 19:32:04","MVA-UNK INJURY",45.3951041334803,-123.09883435348,W,"NE FLETT RD/NE SPRING HILL RD",3
15844,131203843,"2013-12-23 20:50:05","MVA-INJURY ACCID",45.4390496379924,-123.089718223083,W,"SW DIXON MILL RD/SW JARED DR",3
38310,140101492,"2014-01-10 16:46:17","MVA-UNK INJURY",45.4372427700635,-123.138901141704,W,"102 E MAIN ST",3
40208,140101703,"2014-01-12 02:53:24","MVA-UNK INJURY",45.4200902342096,-123.105107965206,W,"SW SPRING HIL RD/SW LAURELWOO RD",3
50680,140102813,"2014-01-20 11:39:15","MVA-INJURY ACCID",45.4699204350002,-123.222104860282,W,"SW WEST SHORE DR/SW LEE RD",3
65881,140200116,"2014-02-01 19:54:21","MVA-INJURY ACCID",45.4536006212577,-123.114699073814,W,"SW SPRING HIL RD/SW HARDEBECK RD",3
90776,140304253,"2014-03-29 20:11:40","MVA-INJURY ACCID",45.4213329382431,-123.105246718562,W,"13700 SW SPRING HILL RD",3
95425,140402561,"2014-04-18 21:27:52","MVA-INJURY ACCID",45.3951041334803,-123.09883435348,W,"NE FLETT RD/NE SPRING HILL RD",3
96996,140403533,"2014-04-25 16:16:18","MVA-UNK INJURY",45.4329956014844,-123.138863839026,W,"HWY 47/NW OLSON RD",3
98282,140404298,"2014-04-30 19:31:12","MVA-INJURY ACCID",45.4014526065018,-123.071155534273,W,"NE PIT RD/NE CHEHALEM WY",3
98790,140500283,"2014-05-02 15:17:03","MVA-UNK INJURY",45.42975513614,-123.138128854789,W,"HWY 47/NW COUNTRY LN",3
98794,140500281,"2014-05-02 15:08:17","MVA-UNK INJURY",45.42975513614,-123.138128854789,W,"HWY 47/NW COUNTRY LN",3
99456,140500693,"2014-05-05 13:26:18","MVA-UNK INJURY",45.4692652546416,-123.145434962735,W,"SW OLD HWY 47/SW MAPLE LN",3
99747,140500885,"2014-05-06 19:23:59","MVA-INJURY ACCID",45.4769207310931,-123.196071211075,W,"50500 SW SCOGGINS VALLEY RD",3
103833,140503458,"2014-05-23 10:51:52","MVA-INJURY ACCID",45.4245901509179,-123.095084509712,W,"40101 SW LAURELWOOD RD",3
106674,140600632,"2014-06-05 06:54:46","MVA-UNK INJURY",45.4690854629699,-123.228145325368,W,"SW LEE RD/SW STIMSON MAINLINE RD",3
170624,140701257,"2014-07-08 17:52:15","MVA-UNK INJURY",45.4439340867121,-123.184869876481,W,"SW PATTON VALLEY RD/SW DUNDEE RD",3
173402,140702971,"2014-07-18 18:09:47","MVA-INJURY ACCID",45.4223768835476,-123.073839440863,W,"SW LAURELWOOD RD/SW PARMELE RD",3
175362,140704219,"2014-07-26 17:27:48","MVA-INJURY ACCID",45.4536006212577,-123.114699073814,W,"SW SPRING HIL RD/SW HARDEBECK RD",3
177327,140800371,"2014-08-03 01:16:51","MVA-INJURY ACCID",45.4213829607295,-123.073619109109,W,"13535 SW PARMELE RD",3
184228,140804837,"2014-08-30 12:10:12","MVA-INJURY ACCID",45.4168941633236,-123.133900791072,W,"HWY 47/NW GOODIN CREEK RD",3
185432,140900515,"2014-09-04 15:21:04","MVA-INJURY ACCID",45.4515851969369,-123.259359589287,W,"56702 SW LEE FALLS RD",3
187783,140902059,"2014-09-13 05:47:55","MVA-INJURY ACCID",45.4741794865911,-123.124180144935,W,"SW SPRING HIL RD/SW FERN HILL RD",3
193388,141000584,"2014-10-04 23:47:37","MVA-UNK INJURY",45.4324194275698,-123.119703949814,W,"SW SPRING HIL RD/SW COPENHAVE RD",3
195830,141002027,"2014-10-15 06:09:25","MVA-INJURY ACCID",45.4328163563543,-123.113852490981,W,"12350 SW SPRING HILL RD",3
195938,141002098,"2014-10-15 13:55:59","MVA-INJURY ACCID",45.4245901509179,-123.095084509712,W,"40101 SW LAURELWOOD RD",3
196346,141002365,"2014-10-17 07:42:07","MVA-UNK INJURY",45.4615261463459,-123.158282661652,W,"SW SCOGGINS VALL RD/SW SPEAKS DR",3
197942,141003339,"2014-10-24 07:47:13","MVA-INJURY ACCID",45.4227728130194,-123.169954754963,W,"NW OLSON RD/NW QUAIL RUN DR",3
198168,141003475,"2014-10-25 00:14:16","MVA-UNK INJURY",45.4491251392443,-123.15128150881,W,"SW PATTON VALLE RD/SW OLD HWY 47",3
200913,141100580,"2014-11-05 06:51:53","MVA-INJURY ACCID",45.4610816587803,-123.161712999207,W,"47071 SW SCOGGINS VALLEY RD",3
214770,141103276,"2014-11-21 21:55:36","MVA-UNK INJURY",45.4653999715047,-123.107364358716,W,"41788 SW SANDSTROM RD",3
215265,141103582,"2014-11-24 10:19:46","MVA-INJURY ACCID",45.4474967937811,-123.24342559555,W,"SW LOVEGREN DR/SW CHERRY GROV DR",3
215292,141103603,"2014-11-24 12:20:44","MVA-INJURY ACCID",45.4227612806563,-123.072239657912,W,"38280 SW LAURELWOOD RD",3
216007,141104062,"2014-11-27 11:21:16","MVA-INJURY ACCID",45.4692652546416,-123.145434962735,W,"SW OLD HWY 47/SW MAPLE LN",3
